cluster_value,transform_value
A La Recherche Du Temps Perdu - Marcel Proust,A La Recherche Du Temps Perdu - Marcel Proust
A la Recherche du Temps Perdu - Marcel Proust,A La Recherche Du Temps Perdu - Marcel Proust
A La Recherche du Temps Perdu - Marcel Proust,A La Recherche Du Temps Perdu - Marcel Proust
Wisden Almanack For Cricketers,Wisden Almanack For Cricketers
Wisden Almanack for cricketers,Wisden Almanack For Cricketers
Wisden Almanack for cricketers - Wisden,Wisden Almanack For Cricketers
Gone With the Wind - Margaret Mitchell,Gone With the Wind - Margaret Mitchell
Gone With The Wind - Margaret Mitchell,Gone With the Wind - Margaret Mitchell
Gone with the Wind - Margaret Mitchell,Gone With the Wind - Margaret Mitchell
Alice in Wonderland - Lewis Carroll,Alice in Wonderland - Lewis Carroll
Alice In Wonderland - Lewis Carroll,Alice in Wonderland - Lewis Carroll
Look Homeward Angel - Thomas Wolfe,Look Homeward Angel - Thomas Wolfe
"Look Homeward, Angel - Thomas Wolfe",Look Homeward Angel - Thomas Wolfe
History of the world,History of the world
History of the World,History of the world
The Atlantic book of British and American Poetry - Edith Sitwell,The Atlantic book of British and American Poetry - Edith Sitwell
The Atlantic Book of British and American Poetry - Edith Sitwell,The Atlantic book of British and American Poetry - Edith Sitwell
"Beasts, Men and Gods - Ferdinand Ossendowski","Beasts, Men and Gods - Ferdinand Ossendowski"
"Men, Beasts and Gods - Ferdinand Ossendowski","Beasts, Men and Gods - Ferdinand Ossendowski"
The Wind in the Willows - Kenneth Grahame,The Wind in the Willows - Kenneth Grahame
Wind in the Willows - Kenneth Grahame,The Wind in the Willows - Kenneth Grahame
The Hitchhiker's Guide to the Galaxy - Douglas Adams,The Hitchhiker's Guide to the Galaxy - Douglas Adams
Hitchhiker's Guide to the Galaxy - Douglas Adams,The Hitchhiker's Guide to the Galaxy - Douglas Adams
The Lord of the Rings - J R R Tolkien,The Lord of the Rings - J R R Tolkien
Lord of the Rings - J R R Tolkien,The Lord of the Rings - J R R Tolkien
Collected Poems - John Betjeman,Collected Poems - John Betjeman
Collected poems - John Betjeman,Collected Poems - John Betjeman
To Kill A Mockingbird by Harper Lee,To Kill A Mockingbird by Harper Lee
To Kill a Mockingbird by Harper Lee,To Kill A Mockingbird by Harper Lee
Dictionary of Quotations,Dictionary of Quotations
Dictionary of quotations,Dictionary of Quotations
The Michelin Guide to France,The Michelin Guide to France
The Michelin Guide to France - Michelin,The Michelin Guide to France
Pears Cyclopaedia,Pears Cyclopaedia
Pear's Cyclopaedia,Pears Cyclopaedia
The History of the World - J M Roberts,The History of the World - J M Roberts
History of the World - J M Roberts,The History of the World - J M Roberts
Scouting For Boys - Robert Baden-Powell,Scouting For Boys - Robert Baden-Powell
Scouting for Boys - Robert Baden-Powell,Scouting For Boys - Robert Baden-Powell
Anthology of poetry,Anthology of poetry
Anthology of Poetry,Anthology of poetry
The complete works - Oscar Wilde,The complete works - Oscar Wilde
The Complete Works - Oscar Wilde,The complete works - Oscar Wilde
The Decline and Fall of the Roman Empire - Edward Gibbon,The Decline and Fall of the Roman Empire - Edward Gibbon
Decline and Fall of the Roman Empire - Edward Gibbon,The Decline and Fall of the Roman Empire - Edward Gibbon
The Dictionary of National Biography,The Dictionary of National Biography
The National Dictionary of Biography,The Dictionary of National Biography
On The Road - Jack Kerouac,On The Road - Jack Kerouac
On the Road - Jack Kerouac,On The Road - Jack Kerouac
The Complete Works of Robert Burns,The Complete Works of Robert Burns
The complete works of Robert Burns - Robert Burns,The Complete Works of Robert Burns
Long Walk to Freedom - Nelson Mandela,Long Walk to Freedom - Nelson Mandela
Long Walk To Freedom - Nelson Mandela,Long Walk to Freedom - Nelson Mandela
Book of Quotations,Book of Quotations
Book of quotations,Book of Quotations
Love in the Time of Cholera - Gabriel Garcia Marquez,Love in the Time of Cholera - Gabriel Garcia Marquez
Love in the time of Cholera - Gabriel Garcia Marquez,Love in the Time of Cholera - Gabriel Garcia Marquez
Volume of Colour Reproductions of Paintings,Volume of Colour Reproductions of Paintings
Volume of colour reproductions of paintings,Volume of Colour Reproductions of Paintings
Giles Cartoons - Carl Giles,Giles Cartoons - Carl Giles
Giles cartoons - Carl Giles,Giles Cartoons - Carl Giles
A Brief History of Time - Stephen Hawking,A Brief History of Time - Stephen Hawking
A Brief History Of Time - Stephen Hawking,A Brief History of Time - Stephen Hawking
Four Quartets - T S Eliot,Four Quartets - T S Eliot
T. S. Eliot Four Quartets,Four Quartets - T S Eliot
